Test_ID,Validity_Label,IsolationForest_Score_SetD,IsolationForest_Flag_SetD,LOF_Score_SetD,LOF_Flag_SetD,IsolationForest_Score_SetA,IsolationForest_Flag_SetA,missing_any,duplicate_measurement_pair,data_quality_issue
TRN-0889,Valid,0.3981144501003096,0,1.0080784358880703,0,0.43117367289988673,0,False,False,False
TRN-0820,Valid,0.38596581168635613,0,0.9942095584408648,0,0.4283036299567968,0,False,False,False
TRN-0411,Valid,0.4186627972852236,0,1.062214228670721,0,0.47502829597408824,0,False,False,False
TRN-0754,Valid,0.3805669103771818,0,0.9828309189335093,0,0.4168244986672946,0,False,False,False
TRN-0707,Valid,0.39313370124835223,0,0.9906424616352499,0,0.45149264187921984,0,False,False,False
TRN-0140,Valid,0.5963988835729646,1,1.0112043974884648,0,0.46007776109986526,0,True,False,True
TRN-0881,Valid,0.37799689901263656,0,0.9789377005967982,0,0.40737815875592365,0,False,False,False
TRN-0381,Valid,0.37913262363750866,0,0.9747176642454836,0,0.4367899543046002,0,False,False,False
TRN-0095,Valid,0.4379281427768868,0,1.0686809219031912,0,0.49420084960945215,0,False,False,False
TRN-0135,Invalid,0.4507230348020907,0,1.3936945993787209,0,0.5085252250118445,1,False,False,False
TRN-0633,Valid,0.42692720348421115,0,1.064230488927533,0,0.49338851777341725,0,False,False,False
TRN-0138,Valid,0.3946839516214831,0,0.9993889674374596,0,0.42802945912665685,0,False,False,False
TRN-0591,Valid,0.49487924275046785,0,1.184878176408168,0,0.5224218994535351,1,False,False,False
TRN-0262,Valid,0.4016070642423365,0,1.02492697362387,0,0.463251920853167,0,False,False,False
TRN-0729,Valid,0.4097882510462803,0,1.060681143316779,0,0.4767513662338226,0,False,False,False
TRN-0307,Valid,0.48264355218969307,0,1.0695926932568784,0,0.5238470664956094,1,False,False,False
TRN-0091,Valid,0.3800746499584354,0,0.986337453024101,0,0.4197964972886191,0,False,False,False
TRN-0542,Valid,0.4185607843351643,0,1.1848787944208259,0,0.4928257867531688,0,False,False,False
TRN-0937,Valid,0.39555901993893533,0,1.0120552589986682,0,0.43536374370820696,0,False,False,False
TRN-0092,Valid,0.44016701737139535,0,1.1068663924068392,0,0.46290753270952617,0,False,False,False
TRN-0268,Valid,0.45307367355257255,0,1.2086891931009995,0,0.5066520354804394,1,False,False,False
TRN-0782,Valid,0.4163314394914707,0,1.0463341515276878,0,0.45622491203675974,0,False,False,False
TRN-0919,Valid,0.3758129373749768,0,0.9938273557110378,0,0.41470976213450705,0,False,False,False
TRN-0053,Valid,0.44816444486088847,0,1.0434295273166971,0,0.4772396164356072,0,False,False,False
TRN-0408,Valid,0.4576920118925874,0,1.1156304718630186,0,0.4949240594151725,0,False,False,False
TRN-0501,Valid,0.37926360945019416,0,0.9820135707290838,0,0.4196494010805337,0,False,False,False
TRN-0311,Valid,0.38639360525676975,0,0.9845813600383673,0,0.42149879721086253,0,False,False,False
TRN-0562,Valid,0.43879628897290823,0,1.1480071309019502,0,0.48806427195005364,0,False,False,False
TRN-0126,Valid,0.3786861465117697,0,0.9520759989914591,0,0.4297858446390636,0,False,False,False
TRN-0676,Valid,0.4592457554867751,0,1.0603554092250287,0,0.5043373716801469,1,False,False,False
TRN-0360,Valid,0.4229109739279169,0,1.0317015629055677,0,0.47457635173748536,0,False,False,False
TRN-0367,Valid,0.4037400619090457,0,1.0146021547376864,0,0.440313244096984,0,False,False,False
TRN-0405,Valid,0.59399535585435,1,0.9858474953188004,0,0.4268691210547601,0,True,False,True
TRN-0868,Valid,0.466422202426526,0,1.1199965132797627,0,0.5395989255130493,1,False,False,False
TRN-0020,Valid,0.4375996327878274,0,1.0213401121995145,0,0.5103637723569685,1,False,False,False
TRN-0316,Valid,0.3820682222037146,0,1.0046698513563341,0,0.4295252096946162,0,False,False,False
TRN-0067,Valid,0.43366413502270507,0,1.0707731437460102,0,0.5029743764987181,1,False,False,False
TRN-0317,Valid,0.39668827904468673,0,1.0189169265031102,0,0.4493396889388619,0,False,False,False
TRN-0087,Invalid,0.44860605622519817,0,1.3362401633217842,0,0.5223651469198419,1,False,False,False
TRN-0801,Valid,0.4119862219904853,0,1.0804250582252535,0,0.4906918682197068,0,False,False,False
TRN-0012,Valid,0.40648385856193303,0,0.9852740058603574,0,0.4378605429088269,0,False,False,False
TRN-0578,Valid,0.40972053937183434,0,1.008494684889384,0,0.45144209645959427,0,False,False,False
TRN-0859,Valid,0.43128557791031363,0,1.1489198230369504,0,0.502202516659773,1,False,False,False
TRN-0533,Invalid,0.5295215093299227,1,1.1792130563081935,0,0.41272699351823683,0,True,False,True
TRN-0967,Valid,0.3823287511349769,0,0.9910658166595004,0,0.4387118460200193,0,False,False,False
TRN-0788,Valid,0.3939657045100439,0,1.065469882277704,0,0.45429506484314075,0,False,False,False
TRN-0700,Valid,0.3806343801400849,0,0.9905997040213312,0,0.42041503501613925,0,False,False,False
TRN-0151,Valid,0.3929143099905123,0,1.0020647447795972,0,0.4397295002448721,0,False,False,False
TRN-0236,Valid,0.3959901447312433,0,1.0505715647636347,0,0.43384131667122094,0,False,False,False
TRN-0130,Valid,0.408937043434434,0,1.021464086187628,0,0.4613298772725755,0,False,False,False
TRN-0558,Valid,0.43316854328414994,0,1.0335058777011574,0,0.49531980782926543,0,False,False,False
